pregunta,respuesta,tema,dificultad
¿En qué consiste la erosión?,Desgaste y transporte de materiales terrestres,Geografía,facil
¿Cuál es el punto más bajo de la Tierra?,Mar Muerto,Geografía,facil
¿Qué son los monzones?,Vientos estacionales que traen lluvias,Geografía,facil
¿En qué continente está la Patagonia?,América del Sur,Geografía,facil
¿Cuál es la diferencia entre isla y península?,Isla está rodeada de agua península conectada por istmo,Geografía,facil
¿Qué es un delta?,Desembocadura de río con múltiples brazos,Geografía,facil
¿En qué país está el canal de Suez?,Egipto,Geografía,facil
¿Cuál es la línea imaginaria del Ecuador?,Paralelo 0° que divide la Tierra en hemisferios,Geografía,facil
¿Qué es la taiga?,Bosque boreal de coníferas,Geografía,facil
¿En qué océano está la Corriente del Golfo?,Atlántico,Geografía,facil
¿Cuál es la capital de Canadá?,Ottawa,Geografía,facil
¿Qué son los glaciares?,Masas de hielo en movimiento,Geografía,facil
¿En qué consiste la subsidencia?,Hundimiento gradual del terreno,Geografía,facil
¿Cuál es el mar más salado del mundo?,Mar Muerto,Geografía,facil
¿Qué es un archipiélago?,Conjunto de islas agrupadas,Geografía,facil
¿En qué consiste el proceso de desertificación?,Degradación de tierras en zonas secas,Geografía,medio
¿Cuál es la diferencia entre tiempo y clima?,Tiempo es condiciones momentáneas clima es patrón a largo plazo,Geografía,medio
¿Qué factores determinan la distribución de biomas?,Temperatura precipitación y altitud,Geografía,medio
¿En qué consiste la circulación termohalina?,Circulación oceánica profunda por temperatura y salinidad,Geografía,medio
¿Cuál es el impacto de El Niño?,Alteración climática global por calentamiento del Pacífico,Geografía,medio
¿Qué son las islas de calor urbano?,Zonas urbanas más cálidas que áreas rurales,Geografía,medio
¿En qué consiste la zonación altitudinal?,Variación de ecosistemas según altitud,Geografía,medio
¿Cuál es la función de los humedales?,Regulación hídrica y biodiversidad,Geografía,medio
¿Qué son las corrientes marinas?,Movimientos de agua oceánica,Geografía,medio
¿En qué consiste la subsidencia costera?,Hundimiento de costas por extracción de recursos,Geografía,medio
¿Cuál es el efecto de la deforestación?,Pérdida de biodiversidad y cambio climático,Geografía,medio
¿Qué son los acuíferos?,Formaciones rocosas que almacenan agua subterránea,Geografía,medio
¿En qué consiste la fragmentación del hábitat?,División de ecosistemas continuos,Geografía,medio
¿Cuál es la importancia de la biodiversidad?,Estabilidad de ecosistemas y servicios ambientales,Geografía,medio
¿Qué son las cuencas hidrográficas?,Territorios drenados por un sistema fluvial,Geografía,medio
¿En qué consiste la eutrofización?,Enriquecimiento excesivo de nutrientes en aguas,Geografía,medio
¿Cuál es el impacto del cambio climático en glaciares?,Retroceso y derretimiento acelerado,Geografía,medio
¿Qué son los corredores biológicos?,Conexiones entre áreas naturales protegidas,Geografía,medio
¿En qué consiste la salinización de suelos?,Acumulación de sales que degrada la tierra,Geografía,medio
¿Cuál es la función de la capa de ozono?,Protección contra radiación ultravioleta,Geografía,medio
¿En qué consiste la teoría de placas tectónicas?,Modelo que explica la dinámica de la litósfera terrestre,Geografía,dificil
¿Cuál es el papel de la teleconexión climática?,Conexiones atmosféricas entre regiones distantes,Geografía,dificil
¿Qué son los sistemas morfoclimáticos?,Conjuntos de procesos geomorfológicos según clima,Geografía,dificil
¿En qué consiste la hipótesis de Gaia?,La Tierra como sistema autorregulado,Geografía,dificil
¿Cuál es la importancia de los puntos calientes geológicos?,Zonas de actividad volcánica intraplaca,Geografía,dificil
¿Qué son las oscilaciones climáticas?,Variaciones periódicas de patrones atmosféricos,Geografía,dificil
¿En qué consiste la geomorfología climática?,Relación entre formas del relieve y clima,Geografía,dificil
¿Cuál es el concepto de paisaje cultural?,Resultado de interacción sociedad-naturaleza,Geografía,dificil
¿Qué son los sistemas de información geográfica?,Herramientas para análisis espacial,Geografía,dificil
¿En qué consiste la biogeografía insular?,Distribución de especies en islas,Geografía,dificil
¿Cuál es la teoría del equilibrio dinámico?,Estabilidad mediante ajustes continuos,Geografía,dificil
¿Qué son las retroalimentaciones climáticas?,Procesos que amplifican o reducen cambios,Geografía,dificil
¿En qué consiste la zonación latitudinal?,Distribución de climas según latitud,Geografía,dificil
¿Cuál es el papel de la topografía en el clima?,Modificación local de patrones climáticos,Geografía,dificil
¿Qué son los gradientes ambientales?,Cambios graduales de condiciones ambientales,Geografía,dificil
¿En qué consiste la sucesión ecológica?,Cambios temporales en comunidades biológicas,Geografía,dificil
¿Cuál es la importancia de la escala en geografía?,Nivel de análisis que determina patrones observables,Geografía,dificil
¿Qué son los servicios ecosistémicos?,Beneficios que proporcionan los ecosistemas,Geografía,dificil
¿En qué consiste la conectividad del paisaje?,Grado de conexión entre elementos espaciales,Geografía,dificil
¿Cuál es el concepto de resiliencia ambiental?,Capacidad de recuperación tras perturbaciones,Geografía,dificil
¿En qué consiste la geografía crítica postmoderna?,Análisis de poder y representación en producción espacial,Geografía,muy-dificil
¿Cuál es el concepto de territorialidad según Sack?,Estrategia de control del espacio por grupos humanos,Geografía,muy-dificil
¿Qué implica la teoría del actor-red en geografía?,Redes híbridas de actores humanos y no humanos,Geografía,muy-dificil
¿En qué consiste la ontología plana geográfica?,Eliminación de jerarquías entre escalas espaciales,Geografía,muy-dificil
¿Cuál es la importancia de la topología en geografía?,Relaciones espaciales más allá de la geometría euclidiana,Geografía,muy-dificil
¿Qué son las geografías feministas postcoloniales?,Intersección de género raza y colonialidad espacial,Geografía,muy-dificil
¿En qué consiste la geografía emocional?,Análisis de afectos y emociones en experiencia espacial,Geografía,muy-dificil
¿Cuál es el concepto de performatividad espacial?,Espacios constituidos por prácticas repetitivas,Geografía,muy-dificil
¿Qué implica la geografía más-que-humana?,Inclusión de agencias no humanas en análisis espacial,Geografía,muy-dificil
¿En qué consiste la geopolítica crítica feminista?,Análisis de género en relaciones de poder espacial,Geografía,muy-dificil
¿Cuál es la teoría de assemblages geográficos?,Configuraciones heterogéneas de elementos diversos,Geografía,muy-dificil
¿Qué son las geografías postseculares?,Análisis espacial más allá de dicotomías religiosas,Geografía,muy-dificil
¿En qué consiste la geografía de las atmosferas?,Estudio de ambientes afectivos espaciales,Geografía,muy-dificil
¿Cuál es el concepto de gubernamentalidad espacial?,Tecnologías de poder que operan territorialmente,Geografía,muy-dificil
¿Qué implica la geografía de la supervivencia?,Espacialidades en condiciones de precariedad extrema,Geografía,muy-dificil
¿En qué consiste la geografía especulativa?,Futuros alternativos y potencialidades espaciales,Geografía,muy-dificil
¿Cuál es la importancia de los nuevos materialismos?,Agencia de la materia en configuraciones espaciales,Geografía,muy-dificil
¿Qué son las geografías queer planetarias?,Sexualidades no normativas en escala global,Geografía,muy-dificil
¿En qué consiste la geofilosofía deleuziana?,Pensamiento territorial y desterritorialización,Geografía,muy-dificil
¿Cuál es el concepto de cronotopo geográfico?,Configuraciones espacio-temporales específicas,Geografía,muy-dificil
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Arte,muy-facil
¿De qué color es el sol en los dibujos infantiles?,Amarillo,Arte,muy-facil
¿Qué instrumento tiene teclas blancas y negras?,Piano,Arte,muy-facil
¿Quién compuso la Novena Sinfonía?,Beethoven,Arte,muy-facil
¿En qué museo está la Mona Lisa?,Louvre,Arte,muy-facil
¿Qué colores primarios existen?,Rojo azul y amarillo,Arte,muy-facil
¿Quién pintó La noche estrellada?,Van Gogh,Arte,muy-facil
¿Qué instrumento toca un violinista?,Violín,Arte,muy-facil
¿Cuántas cuerdas tiene una guitarra?,Seis,Arte,muy-facil
¿Qué color sale al mezclar rojo y amarillo?,Naranja,Arte,muy-facil
¿Quién esculpió el David?,Miguel Ángel,Arte,muy-facil
¿En qué ciudad está el museo del Prado?,Madrid,Arte,muy-facil
¿Qué es una acuarela?,Pintura con pigmentos y agua,Arte,muy-facil
¿Quién compuso El lago de los cisnes?,Tchaikovsky,Arte,muy-facil
¿Qué forma tiene un triángulo?,Tres lados,Arte,muy-facil
¿En qué país nació Mozart?,Austria,Arte,muy-facil
¿Qué es un autorretrato?,Un retrato de uno mismo,Arte,muy-facil
¿Cuántas notas musicales hay?,Siete,Arte,muy-facil
¿Qué color sale al mezclar azul y amarillo?,Verde,Arte,muy-facil
¿En qué siglo vivió Leonardo da Vinci?,XV-XVI,Arte,muy-facil
¿Qué técnica usó Picasso en el cubismo?,Fragmentación geométrica de formas,Arte,facil
¿En qué período artístico vivió Monet?,Impresionismo,Arte,facil
¿Qué es el claroscuro?,Técnica de contrastes de luz y sombra,Arte,facil
¿Quién pintó Las Meninas?,Diego Velázquez,Arte,facil
¿Qué caracteriza al arte gótico?,Arcos apuntados y grandes vidrieras,Arte,facil
¿En qué consiste la técnica del fresco?,Pintura sobre yeso húmedo,Arte,facil
¿Qué movimiento artístico fundó Breton?,Surrealismo,Arte,facil
¿Cuál es la diferencia entre óleo y acrílico?,Óleo usa aceite y acrílico agua como base,Arte,facil
¿Qué representa La Gioconda?,Un retrato de mujer sonriente,Arte,facil
¿En qué siglo surgió el Renacimiento?,Siglo XV,Arte,facil
¿Qué es un bajorrelieve?,Escultura con poco resalte del fondo,Arte,facil
¿Quién compuso Las cuatro estaciones?,Vivaldi,Arte,facil
¿Qué caracteriza al arte abstracto?,No representa formas reconocibles,Arte,facil
¿En qué país surgió el impresionismo?,Francia,Arte,facil
¿Qué es una naturaleza muerta?,Pintura de objetos inanimados,Arte,facil
¿Quién pintó El grito?,Edvard Munch,Arte,facil
¿Qué técnica escultórica usó Rodin?,Modelado en arcilla y bronce,Arte,facil
¿En qué consiste la perspectiva?,Representación de profundidad en superficies planas,Arte,facil
¿Qué movimiento representó Warhol?,Pop Art,Arte,facil
¿Cuál es la función del museo Guggenheim?,Exhibir arte moderno y contemporáneo,Arte,facil
¿Qué significa la iconografía en arte?,Sistema de símbolos y significados,Arte,medio
¿En qué consistió el movimiento Dadá?,Vanguardia que cuestionó conceptos artísticos tradicionales,Arte,medio
¿Cuál es la diferencia entre barroco y rococó?,Barroco es dramático y rococó es decorativo,Arte,medio
¿Qué caracteriza al expresionismo abstracto?,Gestualidad y emoción en pintura no figurativa,Arte,medio
¿En qué consiste la instalación artística?,Arte que transforma espacios completos,Arte,medio
¿Cuál fue la importancia de la Bauhaus?,Escuela que integró arte diseño y arquitectura,Arte,medio
¿Qué es el arte conceptual?,Arte donde la idea es más importante que el objeto,Arte,medio
¿En qué consistió el fauvismo?,Uso expresivo y arbitrario del color,Arte,medio
¿Cuál es la función del comisario de arte?,Organizar y conceptualizar exposiciones,Arte,medio
¿Qué caracteriza al minimalismo?,Reducción a elementos esenciales,Arte,medio
¿En qué consiste la performance art?,Arte en vivo con el cuerpo como medio,Arte,medio
¿Cuál fue la revolución de Duchamp?,Cuestionar la definición tradicional de arte,Arte,medio
¿Qué es el arte land art?,Intervenciones artísticas en paisajes naturales,Arte,medio
¿En qué consistió el movimiento fluxus?,Arte interdisciplinario y antieestablishment,Arte,medio
¿Cuál es la importancia del ready-made?,Objetos cotidianos elevados a arte,Arte,medio
¿Qué caracteriza al hiperrealismo?,Representación extremadamente detallada,Arte,medio
¿En qué consiste el video arte?,Uso del video como medio artístico,Arte,medio
¿Cuál fue el impacto de la fotografía en pintura?,Liberó la pintura de la representación mimética,Arte,medio
¿Qué es el arte relacional?,Arte que se centra en relaciones humanas,Arte,medio
¿En qué consistió la transvanguardia?,Retorno a la pintura figurativa en los 80,Arte,medio
¿Cuál es la función de la crítica de arte?,Análisis interpretación y valoración artística,Arte,dificil
¿En qué consiste la estética de lo sublime?,Experiencia estética que supera la comprensión,Arte,dificil
¿Qué caracteriza al arte postcolonial?,Cuestionamiento de narrativas coloniales occidentales,Arte,dificil
¿En qué consistió el programa iconográfico renacentista?,Sistema codificado de representación simbólica,Arte,dificil
¿Cuál es la importancia de la aura benjaminiana?,Cualidad única de la obra de arte original,Arte,dificil
¿Qué es la intertextualidad en arte visual?,Relaciones entre obras y referencias cruzadas,Arte,dificil
¿En qué consiste la estética relacional de Bourriaud?,Arte como generador de encuentros sociales,Arte,dificil
¿Cuál fue la revolución de la perspectiva brunelleschiana?,Sistema matemático de representación espacial,Arte,dificil
¿Qué caracteriza al arte povera?,Uso de materiales pobres y procesos naturales,Arte,dificil
¿En qué consistió la querella bizantina?,Conflicto sobre las imágenes religiosas,Arte,dificil
¿Cuál es la función del museo en la postmodernidad?,Espacio de cuestionamiento y deconstrucción cultural,Arte,dificil
¿Qué es la performatividad en arte contemporáneo?,Capacidad del arte para crear realidades,Arte,dificil
¿En qué consiste la estética de la recepción?,Teoría que enfatiza el papel del espectador,Arte,dificil
¿Cuál fue la importancia del Salón de los Rechazados?,Cuestionamiento del sistema académico francés,Arte,dificil
¿Qué caracteriza al arte de apropiación?,Reutilización crítica de imágenes existentes,Arte,dificil
¿En qué consistió la estética kantiana?,Análisis filosófico del juicio estético,Arte,dificil
¿Cuál es el concepto de obra de arte total?,Síntesis de todas las artes en una obra,Arte,dificil
¿Qué es la deconstrucción derridiana en arte?,Análisis de contradicciones y multiplicidad de sentidos,Arte,dificil
¿En qué consiste el arte feminista?,Cuestionamiento de representaciones patriarcales,Arte,dificil
¿Cuál fue la revolución del montaje cinematográfico?,Creación de significado através del corte y edición,Arte,dificil
¿En qué consiste la estética adorniana de la negatividad?,Arte auténtico como negación de la realidad cosificada,Arte,muy-dificil
¿Cuál es la importancia del concepto de différance?,Diferimiento y diferencia en constitución del sentido artístico,Arte,muy-dificil
¿Qué implica la muerte del autor en arte visual?,Liberación del significado de la intención autorial,Arte,muy-dificil
¿En qué consiste el giro pictorial de Mitchell?,Predominio de lo visual en cultura contemporánea,Arte,muy-dificil
¿Cuál es el concepto de rizoma estético?,Multiplicidad de conexiones sin jerarquía en arte,Arte,muy-dificil
¿Qué caracteriza al arte después del fin del arte?,Pluralidad sin narrativa progresiva dominante,Arte,muy-dificil
¿En qué consiste la estética de la emergencia?,Propiedades artísticas que surgen de interacciones complejas,Arte,muy-dificil
¿Cuál es la importancia de la ontología orientada a objetos?,Agencia estética de entidades no humanas,Arte,muy-dificil
¿Qué implica el arte en la era del Antropoceno?,Respuesta artística a la crisis ambiental global,Arte,muy-dificil
¿En qué consiste la estética queer?,Subversión de normas heteronormativas en arte,Arte,muy-dificil
¿Cuál es el concepto de espectralidad derridiana?,Presencia de ausencias en experiencia artística,Arte,muy-dificil
¿Qué caracteriza al arte decolonial?,Descolonización epistémica y estética,Arte,muy-dificil
¿En qué consiste la biopolítica del arte?,Arte como tecnología de subjetivación,Arte,muy-dificil
¿Cuál es la importancia del arte en el capitalismo cognitivo?,Arte como producción de subjetividad en economía inmaterial,Arte,muy-dificil
¿Qué implica la estética de la supervivencia?,Arte en condiciones de precariedad extrema,Arte,muy-dificil
¿En qué consiste el arte posthumano?,Cuestionamiento de límites entre humano y no humano,Arte,muy-dificil
¿Cuál es el concepto de arte planetario?,Arte que responde a escala geológica y cósmica,Arte,muy-dificil
¿Qué caracteriza al new materialism en arte?,Agencia estética de la materia y materialidad,Arte,muy-dificil
¿En qué consiste la estética especulativa?,Arte que imagina futuros alternativos,Arte,muy-dificil
¿Cuál es la importancia del arte en la ontología flat?,Eliminación de jerarquías entre entidades artísticas,Arte,muy-dificil
¿Cuántos jugadores hay en un equipo de fútbol?,Once,Deportes,muy-facil
¿Cada cuántos años se celebran los Juegos Olímpicos?,Cuatro años,Deportes,muy-facil
¿En qué deporte se usa una raqueta?,Tenis,Deportes,muy-facil
¿Cuántos puntos vale un gol en fútbol?,Un punto,Deportes,muy-facil
¿Qué deporte practica Michael Jordan?,Baloncesto,Deportes,muy-facil
¿En qué deporte se usa un bate?,Béisbol,Deportes,muy-facil
¿Cuántas bases hay en béisbol?,Cuatro,Deportes,muy-facil
¿Qué deporte se juega en Wimbledon?,Tenis,Deportes,muy-facil
¿Cuántos sets gana quien gana un partido de tenis?,Dos o tres,Deportes,muy-facil
¿En qué deporte se hace un hole in one?,Golf,Deportes,muy-facil
¿Qué deporte practica Messi?,Fútbol,Deportes,muy-facil
¿Cuántos jugadores hay en un equipo de baloncesto?,Cinco,Deportes,muy-facil
¿En qué deporte se nada?,Natación,Deportes,muy-facil
¿Qué se usa para jugar ping pong?,Raqueta y pelota,Deportes,muy-facil
¿En qué deporte hay un portero?,Fútbol,Deportes,muy-facil
¿Cuántas vueltas tiene una carrera de Fórmula 1?,Variable según circuito,Deportes,muy-facil
¿Qué deporte se juega en la NBA?,Baloncesto,Deportes,muy-facil
¿En qué deporte se hace surf?,En las olas del mar,Deportes,muy-facil
¿Cuántos anillos olímpicos hay?,Cinco,Deportes,muy-facil
¿Qué deporte se juega en el Mundial de Qatar?,Fútbol,Deportes,muy-facil
¿Cuánto dura un partido de fútbol?,90 minutos más tiempo añadido,Deportes,facil
¿Qué es un hat-trick en fútbol?,Tres goles del mismo jugador en un partido,Deportes,facil
¿En qué deporte se usa el término ace?,Tenis y voleibol,Deportes,facil
¿Cuántos Grand Slam hay en tenis?,Cuatro,Deportes,facil
¿Qué significa NBA?,National Basketball Association,Deportes,facil
¿En qué deporte se usan spikes?,Atletismo,Deportes,facil
¿Cuántos periodos tiene un partido de hockey?,Tres periodos,Deportes,facil
¿Qué es un slam dunk?,Encestar con fuerza en baloncesto,Deportes,facil
¿En qué deporte se compite en el Tour de Francia?,Ciclismo,Deportes,facil
¿Cuántos puntos vale un touchdown?,Seis puntos,Deportes,facil
¿Qué es el fuera de juego en fútbol?,Posición adelantada ilegal,Deportes,facil
¿En qué deporte se usa un puck?,Hockey sobre hielo,Deportes,facil
¿Cuántos holes tiene un campo de golf estándar?,18 holes,Deportes,facil
¿Qué es un strike en béisbol?,Lanzamiento fallado por el bateador,Deportes,facil
¿En qué deporte se compite en el US Open?,Tenis y golf,Deportes,facil
¿Cuántos rounds tiene una pelea de boxeo profesional?,Hasta 12 rounds,Deportes,facil
¿Qué es el offside en rugby?,Posición ilegal del jugador,Deportes,facil
¿En qué deporte se usa la expresión birdie?,Golf,Deportes,facil
¿Cuántos cuartos tiene un partido de NBA?,Cuatro cuartos,Deportes,facil
¿Qué es un safety en fútbol americano?,Dos puntos por tacklear en zona de anotación,Deportes,facil
¿En qué consiste el sistema de tie-break en tenis?,Desempate cuando el set está 6-6,Deportes,medio
¿Qué es el VAR en fútbol?,Video Assistant Referee,Deportes,medio
¿Cuál es la diferencia entre maratón y media maratón?,Maratón son 42.195 km y media maratón 21.097 km,Deportes,medio
¿En qué consiste la regla del fuera de banda en baloncesto?,El balón debe jugarse desde donde salió,Deportes,medio
¿Qué es el Golden Set en tenis?,Set que se juega hasta 10 puntos en desempate,Deportes,medio
¿Cuál es la función del libero en voleibol?,Especialista defensivo que no puede atacar,Deportes,medio
¿En qué consiste el sistema de playoffs?,Eliminatorias para determinar campeón,Deportes,medio
¿Qué es la regla de los tres segundos en baloncesto?,Prohibición de estar más de 3 segundos en el área,Deportes,medio
¿Cuál es la diferencia entre judo y karate?,Judo enfatiza agarres y karate golpes,Deportes,medio
¿En qué consiste el sistema de handicap en golf?,Sistema para igualar el nivel de jugadores,Deportes,medio
¿Qué es el scrum en rugby?,Formación para reanudar el juego,Deportes,medio
¿Cuál es la función del DH en béisbol?,Designated Hitter que solo batea,Deportes,medio
¿En qué consiste la regla del advantage en fútbol?,Continuar jugando tras una falta,Deportes,medio
¿Qué es el slam en deportes de raqueta?,Ganar los cuatro torneos principales,Deportes,medio
¿Cuál es la diferencia entre freestyle y backstroke?,Estilo libre y espalda en natación,Deportes,medio
¿En qué consiste el sistema de draft en deportes?,Selección de jugadores amateur por equipos profesionales,Deportes,medio
¿Qué es la zona muerta en tenis?,Área entre líneas de servicio y fondo,Deportes,medio
¿Cuál es la función del umpire en béisbol?,Árbitro principal que dicta las jugadas,Deportes,medio
¿En qué consiste el fair play financiero?,Regulación del gasto de clubes deportivos,Deportes,medio
¿Qué es el pressing en fútbol?,Presión defensiva alta sobre el rival,Deportes,medio
¿En qué consiste la regla de ventaja en rugby?,Permitir continuidad tras infracciones menores,Deportes,dificil
¿Cuál es la función del sweeper en fútbol?,Libero que barre detrás de la defensa,Deportes,dificil
¿Qué es el sistema de seeding en torneos?,Clasificación de participantes según ranking,Deportes,dificil
¿En qué consiste la estrategia del contra-ataque?,Transición rápida de defensa a ataque,Deportes,dificil
¿Cuál es la diferencia entre pressing y forechecking?,Presión en fútbol vs hockey respectivamente,Deportes,dificil
¿Qué es el sistema de wild card?,Clasificación especial para torneos,Deportes,dificil
¿En qué consiste la táctica del bus parking?,Defensa ultra-defensiva con todos los jugadores,Deportes,dificil
¿Cuál es la función del setter en voleibol?,Jugador que arma las jugadas de ataque,Deportes,dificil
¿Qué es el sistema de round-robin?,Todos contra todos en competencias,Deportes,dificil
¿En qué consiste la regla del challenge en tenis?,Sistema de revisión electrónica de líneas,Deportes,dificil
¿Cuál es la diferencia entre pick and roll y pick and pop?,Tácticas ofensivas en baloncesto,Deportes,dificil
¿Qué es el sistema de salary cap?,Límite salarial en ligas profesionales,Deportes,dificil
¿En qué consiste la estrategia del full court press?,Presión defensiva en toda la cancha,Deportes,dificil
¿Cuál es la función del wing-back en fútbol?,Lateral que participa en ataque,Deportes,dificil
¿Qué es el concepto de clutch performance?,Rendimiento en momentos decisivos,Deportes,dificil
¿En qué consiste el sistema de franchise tag?,Retención de jugadores en NFL,Deportes,dificil
¿Cuál es la diferencia entre man-to-man y zone defense?,Marcaje individual vs zonal,Deportes,dificil
¿Qué es el momentum en deportes?,Cambio psicológico del dominio del juego,Deportes,dificil
¿En qué consiste la regla del shot clock?,Tiempo límite para atacar en baloncesto,Deportes,dificil
¿Cuál es la importancia del periodization training?,Planificación sistemática del entrenamiento,Deportes,dificil
¿En qué consiste la biomecanics analysis en deportes?,Análisis científico del movimiento deportivo,Deportes,muy-dificil
¿Cuál es el papel de la periodización tactical?,Integración de aspectos técnicos tácticos y físicos,Deportes,muy-dificil
¿Qué implica el concepto de flow state?,Estado óptimo de concentración y rendimiento,Deportes,muy-dificil
¿En qué consiste la sports analytics revolution?,Uso de big data para análisis deportivo,Deportes,muy-dificil
¿Cuál es la importancia del lactate threshold?,Umbral metabólico para entrenamiento de resistencia,Deportes,muy-dificil
¿Qué caracteriza al chaos theory en deportes?,Sistemas complejos y resultados impredecibles,Deportes,muy-dificil
¿En qué consiste la neurofeedback training?,Entrenamiento basado en retroalimentación cerebral,Deportes,muy-dificil
¿Cuál es el concepto de deliberate practice?,Práctica sistemática para mejora del rendimiento,Deportes,muy-dificil
¿Qué implica la epigenetics en rendimiento deportivo?,Influencia del ambiente en expresión genética,Deportes,muy-dificil
¿En qué consiste el periodization of volume and intensity?,Manipulación científica de cargas de entrenamiento,Deportes,muy-dificil
¿Cuál es la importancia del motor learning theory?,Procesos de adquisición de habilidades motoras,Deportes,muy-dificil
¿Qué caracteriza al dynamical systems approach?,Análisis de coordinación y control motor,Deportes,muy-dificil
¿En qué consiste la altitude training theory?,Adaptaciones fisiológicas al entrenamiento en altura,Deportes,muy-dificil
¿Cuál es el papel de la sports psychology periodization?,Integración del entrenamiento mental sistemático,Deportes,muy-dificil
¿Qué implica el concept of transfer specificity?,Transferencia específica de habilidades entrenadas,Deportes,muy-dificil
¿En qué consiste la complexity theory en team sports?,Comportamientos emergentes en deportes colectivos,Deportes,muy-dificil
¿Cuál es la importancia del constraint-led approach?,Aprendizaje motor guiado por restricciones,Deportes,muy-dificil
¿Qué caracteriza al ecological dynamics framework?,Interacción organismo-ambiente en deportes,Deportes,muy-dificil
¿En qué consiste la periodization of recovery?,Planificación sistemática de la recuperación,Deportes,muy-dificil
¿Cuál es el concepto de antifragility en deportes?,Fortalecimiento through stress adaptativo,Deportes,muy-dificil
¿Qué significa CPU?,Central Processing Unit,Tecnologia,muy-facil
¿Para qué sirve Spotify?,Para escuchar música en streaming,Tecnologia,muy-facil
¿Qué es TikTok?,Una aplicación de videos cortos,Tecnologia,muy-facil
¿Cuál es el sistema operativo de Android?,Android,Tecnologia,muy-facil
¿Para qué sirve Zoom?,Para hacer videollamadas,Tecnologia,muy-facil
¿Qué es Amazon?,Una tienda online,Tecnologia,muy-facil
¿Cuál es la empresa creadora de iPhone?,Apple,Tecnologia,muy-facil
¿Para qué sirve una memoria USB?,Para almacenar archivos,Tecnologia,muy-facil
¿Qué es Twitter?,Una red social de mensajes cortos,Tecnologia,muy-facil
¿Cuál es el buscador más usado?,Google,Tecnologia,muy-facil
¿Para qué sirve PayPal?,Para hacer pagos online,Tecnologia,muy-facil
¿Qué es Minecraft?,Un videojuego de construcción,Tecnologia,muy-facil
¿Cuál es la red social profesional más conocida?,LinkedIn,Tecnologia,muy-facil
¿Para qué sirve un mouse?,Para controlar el cursor en pantalla,Tecnologia,muy-facil
¿Qué es Discord?,Una aplicación de chat para gamers,Tecnologia,muy-facil
¿Cuál es la empresa creadora de Windows?,Microsoft,Tecnologia,muy-facil
¿Para qué sirve un teclado?,Para escribir en computadora,Tecnologia,muy-facil
¿Qué es Uber?,Una aplicación de transporte,Tecnologia,muy-facil
¿Cuál es el navegador de Apple?,Safari,Tecnologia,muy-facil
¿Para qué sirve iTunes?,Para gestionar música y multimedia,Tecnologia,muy-facil
¿Qué es Tesla?,Una empresa de coches eléctricos,Tecnologia,muy-facil
¿Cuál es la plataforma de videos más grande?,YouTube,Tecnologia,muy-facil
¿Para qué sirve Skype?,Para hacer llamadas por internet,Tecnologia,muy-facil
¿Qué es Snapchat?,Una aplicación de fotos temporales,Tecnologia,muy-facil
¿Cuál es el sistema de pago de Apple?,Apple Pay,Tecnologia,muy-facil
¿Para qué sirve Google Maps?,Para navegación y mapas,Tecnologia,muy-facil
¿Qué es Twitch?,Una plataforma de streaming de videojuegos,Tecnologia,muy-facil
¿Cuál es la moneda digital más conocida?,Bitcoin,Tecnologia,muy-facil
¿Para qué sirve Dropbox?,Para almacenar archivos en la nube,Tecnologia,muy-facil
¿Qué es Reddit?,Una plataforma de comunidades y discusión,Tecnologia,muy-facil
¿Qué significa CSS?,Cascading Style Sheets,Tecnologia,facil
¿Para qué sirve Python?,Para programación y desarrollo de software,Tecnologia,facil
¿Qué es un pixel?,La unidad más pequeña de una imagen digital,Tecnologia,facil
¿Cuál es la diferencia entre HTTP y FTP?,HTTP para páginas web y FTP para transferir archivos,Tecnologia,facil
¿Para qué sirve MySQL?,Para gestión de bases de datos,Tecnologia,facil
¿Qué es la realidad aumentada?,Superposición de elementos digitales sobre el mundo real,Tecnologia,facil
¿Cuál es la función de un disco duro?,Almacenar datos permanentemente,Tecnologia,facil
¿Para qué sirve Adobe Photoshop?,Para editar y manipular imágenes,Tecnologia,facil
¿Qué es un malware?,Software malicioso que daña sistemas,Tecnologia,facil
¿Cuál es la diferencia entre WiFi y Ethernet?,WiFi es inalámbrico y Ethernet usa cables,Tecnologia,facil
¿Para qué sirve Java?,Para desarrollo de aplicaciones multiplataforma,Tecnologia,facil
¿Qué es la ciberseguridad?,Protección de sistemas digitales contra amenazas,Tecnologia,facil
¿Cuál es la función de la tarjeta gráfica?,Procesar y mostrar imágenes en pantalla,Tecnologia,facil
¿Para qué sirve Slack?,Para comunicación empresarial en equipo,Tecnologia,facil
¿Qué es el phishing?,Técnica para robar información personal,Tecnologia,facil
¿Cuál es la diferencia entre SSD y HDD?,SSD es más rápido y sin partes móviles,Tecnologia,facil
¿Para qué sirve Git?,Para control de versiones en programación,Tecnologia,facil
¿Qué es un podcast?,Programa de audio distribuido digitalmente,Tecnologia,facil
¿Cuál es la función del BIOS?,Sistema básico de entrada y salida del computador,Tecnologia,facil
¿Para qué sirve Microsoft Office?,Para crear documentos hojas de cálculo y presentaciones,Tecnologia,facil
¿Qué es el streaming?,Transmisión de contenido multimedia en tiempo real,Tecnologia,facil
¿Cuál es la diferencia entre hardware y software?,Hardware son componentes físicos software son programas,Tecnologia,facil
